Show_ID,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Category,Listed_In,Description
1,Movie 0,Director D,Actor X,Brazil,2015-10-12,2010,G,33 min,Movie,Animation,This is a description for Movie 0
2,Movie 1,Director E,Actor Z,Germany,2019-01-10,1995,PG-13,134 min,TV Show,Drama,This is a description for Movie 1
3,Movie 2,Director C,Actor X,India,2022-01-09,2023,G,60 min,TV Show,Romance,This is a description for Movie 2
4,Movie 3,Director E,Actor Y,Brazil,2015-01-27,1956,G,160 min,TV Show,Animation,This is a description for Movie 3
5,Movie 4,Director E,Actor Z,United States,2021-03-24,1953,R,146 min,TV Show,Romance,This is a description for Movie 4
6,Movie 5,Director B,Actor Y,India,2024-07-28,2001,R,119 min,TV Show,Action,This is a description for Movie 5
7,Movie 6,Director C,Actor V,India,2019-05-11,1980,TV-MA,174 min,TV Show,Animation,This is a description for Movie 6
8,Movie 7,Director C,Actor Y,Canada,2018-10-23,2024,TV-MA,95 min,TV Show,Horror,This is a description for Movie 7
9,Movie 8,Director C,Actor V,Pakistan,2024-04-04,1985,G,117 min,Movie,Action,This is a description for Movie 8
10,Movie 9,Director E,Actor V,Brazil,2017-04-27,2003,G,53 min,Movie,Documentary,This is a description for Movie 9
11,Movie 10,Director D,Actor Y,France,2018-02-02,2003,TV-14,128 min,TV Show,Thriller,This is a description for Movie 10
12,Movie 11,Director C,Actor Y,India,2015-01-18,1966,TV-MA,134 min,TV Show,Horror,This is a description for Movie 11
13,Movie 12,Director E,Actor V,India,2023-12-21,2024,PG-13,48 min,TV Show,Action,This is a description for Movie 12
14,Movie 13,Director B,Actor Z,Canada,2020-09-21,1979,G,95 min,TV Show,Thriller,This is a description for Movie 13
15,Movie 14,Director D,Actor V,Canada,2020-11-06,1971,PG-13,89 min,TV Show,Horror,This is a description for Movie 14
16,Movie 15,Director B,Actor W,Pakistan,2022-03-18,1992,G,144 min,Movie,Thriller,This is a description for Movie 15
17,Movie 16,Director D,Actor V,Brazil,2015-06-06,1976,PG-13,44 min,TV Show,Documentary,This is a description for Movie 16
18,Movie 17,Director E,Actor Z,United States,2018-07-13,1986,PG,114 min,TV Show,Animation,This is a description for Movie 17
19,Movie 18,Director A,Actor W,France,2020-12-21,1995,PG-13,117 min,TV Show,Comedy,This is a description for Movie 18
20,Movie 19,Director D,Actor X,Pakistan,2021-11-16,1984,TV-MA,36 min,Movie,Animation,This is a description for Movie 19
21,Movie 20,Director B,Actor X,Germany,2019-06-13,1953,G,35 min,Movie,Thriller,This is a description for Movie 20
22,Movie 21,Director E,Actor Z,United States,2019-11-07,1975,TV-MA,154 min,Movie,Animation,This is a description for Movie 21
23,Movie 22,Director D,Actor V,United Kingdom,2018-03-01,1968,PG-13,62 min,Movie,Documentary,This is a description for Movie 22
